building_id,source_parcel_id,source_parcel_ids,source_parcel_count,raw_row_count,unique_geometry_count,inferred_parcel_id,candidate_count,intersection_area_sq_m,parcel_coverage,building_coverage,iou,centroid_distance_m,spatial_score,score_margin,resolution
way/1374363259,135,135|30,2,2,1,30,2,375.116,0.2204,0.9622,0.2185,8.395,0.7748,0.7245,CONSISTENT
way/1374363260,60,60|32/1,2,2,1,60,2,336.234,0.0527,0.7527,0.0518,44.393,0.4205,0.2642,CONSISTENT_LOW_CONFIDENCE
way/1374363261,60,60,1,1,1,60,2,446.712,0.07,1.0,0.07,21.409,0.6856,0.6856,CONSISTENT
way/1374363262,60,60,1,1,1,60,2,446.69,0.07,1.0,0.07,25.806,0.6592,0.6592,CONSISTENT
way/1374363263,60,60|32/1,2,2,1,60,3,323.845,0.0508,0.725,0.0498,47.78,0.386,0.1599,CONSISTENT_LOW_CONFIDENCE
way/1374363264,60,60,1,1,1,60,1,398.583,0.0625,1.0,0.0625,25.682,0.6584,,CONSISTENT
way/1374363265,60,60|133,2,2,1,60,2,759.725,0.1191,0.986,0.1189,26.053,0.6605,0.6532,CONSISTENT
way/1374363266,39/2,39/2,1,1,1,39/2,1,330.798,0.0642,1.0,0.0642,32.874,0.6156,,CONSISTENT_LOW_CONFIDENCE
way/1374363267,39/2,39/2,1,1,1,39/2,1,330.687,0.0641,1.0,0.0641,10.137,0.752,,CONSISTENT
way/1374363268,39/2,39/2,1,1,1,39/2,1,323.71,0.0628,0.9786,0.0627,26.927,0.6403,,CONSISTENT_LOW_CONFIDENCE
way/1374363269,39/2,39/2|136,2,2,1,39/2,2,443.421,0.086,0.6569,0.0823,31.952,0.4539,0.2895,CONSISTENT_LOW_CONFIDENCE
way/1374363270,39/2,39/2,1,1,1,39/2,3,712.906,0.1383,1.0,0.1383,27.614,0.662,0.6226,CONSISTENT
way/1374363271,36/1,36/1,1,1,1,36/1,2,386.546,0.1415,1.0,0.1415,15.863,0.7331,0.7331,CONSISTENT
way/1374363272,36/1,36/1,1,1,1,36/1,1,386.546,0.1415,1.0,0.1415,10.254,0.7668,,CONSISTENT
way/1374363273,36/1,36/1|136,2,2,1,36/1,2,202.519,0.0741,0.4633,0.0683,25.497,0.3935,0.1212,CONSISTENT_LOW_CONFIDENCE
way/1374365097,44,44|43,2,2,1,44,2,222.862,0.0448,0.7258,0.044,33.841,0.4688,0.3721,CONSISTENT_LOW_CONFIDENCE
way/1374365098,44,44|43,2,2,1,44,2,244.019,0.049,0.7944,0.0484,39.615,0.4693,0.3232,CONSISTENT_LOW_CONFIDENCE
way/1374365099,44,44,1,1,1,44,1,307.037,0.0617,1.0,0.0617,25.986,0.6564,,CONSISTENT
way/1374365100,44,44,1,1,1,44,1,306.9,0.0616,1.0,0.0616,22.895,0.675,,CONSISTENT
way/1374365101,44,44,1,1,1,44,1,412.59,0.0829,1.0,0.0829,11.666,0.7466,,CONSISTENT
way/1374365102,43,43|39/1,2,2,1,43,2,664.547,0.0684,0.6441,0.0659,55.208,0.3357,0.1713,WEAK_MATCH
way/1374365103,73/1,73/1|67+70+71,2,2,1,67+70+71,2,240.764,0.0327,0.6243,0.0321,32.648,0.4228,0.0682,CONSISTENT_LOW_CONFIDENCE
way/1374365104,73/1,73/1|67+70+71,2,2,1,67+70+71,3,320.78,0.0436,0.8326,0.0432,46.751,0.4445,0.3246,CONSISTENT_LOW_CONFIDENCE
way/1374365105,72,72|73/1,2,2,1,72,2,380.454,0.0949,0.906,0.094,34.55,0.5647,0.4807,CONSISTENT_LOW_CONFIDENCE
way/1374365106,72,72|73/1,2,2,1,72,2,293.811,0.0733,0.8861,0.0726,16.69,0.6576,0.4971,CONSISTENT
way/1374365107,72,72|73/1,2,2,1,72,2,471.502,0.1177,0.7287,0.1127,23.145,0.549,0.2984,CONSISTENT_LOW_CONFIDENCE
way/1374365108,72,72|132|73/1,3,3,1,72,3,320.741,0.08,0.8597,0.079,48.699,0.4536,0.4059,CONSISTENT_LOW_CONFIDENCE
way/1374365109,73/1,73/1|67+70+71,2,2,1,73/1,2,299.31,0.0666,0.5866,0.0636,38.096,0.3781,0.1586,CONSISTENT_LOW_CONFIDENCE
